Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank,Review Count Range,combined_text,cleaned_text,cluster
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism (Int'l Edit.),Olivia Fox Cabane,4.5,968,820.0,What if charisma could be taught? ,500.0,Self-Esteem,20,501-1000,The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism (Int'l Edit.) What if charisma could be taught? ,charisma myth anyone master art science personal magnetism intl edit charisma could taught,0
The Mercies,Kiran Millwood Hargrave,4.4,215,323.0,"On Christmas Eve, 1617, the sea around the remote Norwegian island of Vardø is thrown into a reckless storm. As Maren Magnusdatter watches, 40 fishermen, including her father and brother, are lost to the waves, the menfolk of Vardø wiped out in an instant.",665.0,True Accounts,539,201-500,"The Mercies On Christmas Eve, 1617, the sea around the remote Norwegian island of Vardø is thrown into a reckless storm. As Maren Magnusdatter watches, 40 fishermen, including her father and brother, are lost to the waves, the menfolk of Vardø wiped out in an instant.",mercy christmas eve sea around remote norwegian island vard thrown reckless storm maren magnusdatter watch fisherman including father brother lost wave menfolk vard wiped instant,0
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,4.5,214,1206.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,201-500,"Magic Tree House Collection: Books 1-8 Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",magic tree house collection book sorry need make sure youre robot best result please make sure browser accepting cooky,1
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,4.2,764,610.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,501-1000,"Nudge: Improving Decisions About Health, Wealth, and Happiness Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",nudge improving decision health wealth happiness sorry need make sure youre robot best result please make sure browser accepting cooky,1
The Closer's Survival Guide - Third Edition,Grant Cardone,4.3,44,668.0,Learn to close and you will never be without work or without money! ,333.0,Business Careers,61,0-50,The Closer's Survival Guide - Third Edition Learn to close and you will never be without work or without money! ,closer survival guide third edition learn close never without work without money,0
Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,4.6,446,820.0,From world-renowned biologist and primatologist Frans de Waal comes this groundbreaking work on animal intelligence destined to become a classic. ,635.0,Biology Books,763,201-500,Are We Smart Enough to Know How Smart Animals Are? From world-renowned biologist and primatologist Frans de Waal comes this groundbreaking work on animal intelligence destined to become a classic. ,smart enough know smart animal worldrenowned biologist primatologist frans de waal come groundbreaking work animal intelligence destined become classic,0
The Happiest Baby on the Block; Fully Revised and Updated Second Edition: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer,Harvey Karp,4.6,1308,668.0,Never again will you have to stand by helplessly while your little baby cries and cries. There is a way to calm most crying babies...usually in minutes!,461.0,Children's Health,4,1001-5000,The Happiest Baby on the Block; Fully Revised and Updated Second Edition: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer Never again will you have to stand by helplessly while your little baby cries and cries. There is a way to calm most crying babies...usually in minutes!,happiest baby block fully revised updated second edition new way calm cry help newborn baby sleep longer never stand helplessly little baby cry cry way calm cry babiesusually minute,0
Why I Stopped Wearing My Socks,Alok Kejriwal,4.7,665,668.0,Winner of the C.K. Prahalad award - Best Business Book of 2019 ,301.0,Biographies of Business Leaders,49,501-1000,Why I Stopped Wearing My Socks Winner of the C.K. Prahalad award - Best Business Book of 2019 ,stopped wearing sock winner ck prahalad award best business book,0
Focus: Achieving Your Highest Priorities,Stephen R. Covey,4.2,15,703.0,"Das Motto dieses Audio-Workshops: Effektivität kommt vor Effizienz. Die Teilnehmer lernen, wie sie in einer gegebenen Zeit das wirklich Wichtige tun, statt sich immer mehr Aufgaben aufzuladen, von denen dann aus Zeitmangel ein Großteil unerledigt bleibt. Das Ergebnis: verbesserte Produktivität durch richtige Planung. ",190.0,Personal Success in Business,153,0-50,"Focus: Achieving Your Highest Priorities Das Motto dieses Audio-Workshops: Effektivität kommt vor Effizienz. Die Teilnehmer lernen, wie sie in einer gegebenen Zeit das wirklich Wichtige tun, statt sich immer mehr Aufgaben aufzuladen, von denen dann aus Zeitmangel ein Großteil unerledigt bleibt. Das Ergebnis: verbesserte Produktivität durch richtige Planung. ",focus achieving highest priority da motto diesis audioworkshops effektivitt kommt vor effizienz die teilnehmer lernen wie sie einer gegebenen zeit da wirklich wichtige tun statt sich immer mehr aufgaben aufzuladen von denen dann au zeitmangel ein groteil unerledigt bleibt da ergebnis verbesserte produktivitt durch richtige planung,0
Loopholes of Real Estate: Secrets of Successful Real Estate Investing (Rich Dad Advisors),Garrett Sutton,4.7,240,500.0,Loopholes of Real Estate is for the first time as well as seasoned investors. It reveals the legal and tax strategies used by the rich for generations to acquire and benefit from real estate investments. The audiobook clearly identifies how these loopholes can be used together to maximize your income and protect your investments.,611.0,Commercial Real Estate,1,201-500,Loopholes of Real Estate: Secrets of Successful Real Estate Investing (Rich Dad Advisors) Loopholes of Real Estate is for the first time as well as seasoned investors. It reveals the legal and tax strategies used by the rich for generations to acquire and benefit from real estate investments. The audiobook clearly identifies how these loopholes can be used together to maximize your income and protect your investments.,loophole real estate secret successful real estate investing rich dad advisor loophole real estate first time well seasoned investor reveals legal tax strategy used rich generation acquire benefit real estate investment audiobook clearly identifies loophole used together maximize income protect investment,0
Conquering Procrastination: How to Stop Stalling and Start Achieving!,Neil F. Fiore Ph.D.,3.4,4,1439.0,Conquering Procrastination: How to Stop Stalling and Start Achieving has the solutions to defeating procrastination and making time a positive force in your life. ,314.0,Personal Success,290,0-50,Conquering Procrastination: How to Stop Stalling and Start Achieving! Conquering Procrastination: How to Stop Stalling and Start Achieving has the solutions to defeating procrastination and making time a positive force in your life. ,conquering procrastination stop stalling start achieving conquering procrastination stop stalling start achieving solution defeating procrastination making time positive force life,0
"False Alarm: How Climate Change Panic Costs Us Trillions, Hurts the Poor, and Fails to Fix the Planet",Bjorn Lomborg,4.8,85,500.0,"The New York Times best-selling ""skeptical environmentalist"" argues that panic over climate change is causing more harm than good ",498.0,Climate Change,4,51-200,"False Alarm: How Climate Change Panic Costs Us Trillions, Hurts the Poor, and Fails to Fix the Planet The New York Times best-selling ""skeptical environmentalist"" argues that panic over climate change is causing more harm than good ",false alarm climate change panic cost u trillion hurt poor fails fix planet new york time bestselling skeptical environmentalist argues panic climate change causing harm good,0
"Energy Healing for Trauma, Stress & Chronic Illness: Uncover & Transform the Subtle Energies that Are Causing Your Greatest Hardships",Cyndi Dale,5.0,16,703.0,"Combining insights from mainstream science, psychology, and subtle healing modalities, this book provides a truly holistic approach to recovery. Renowned author and spiritual healer Cyndi Dale shares an impressive array of techniques for resolving challenging energetic and spiritual issues. Trauma and pain caused by environmental, physical, psychological, and spiritual forces can have major effects on every aspect of your life. Join Cyndi as she shows how to align with spirit guides, work with the chakras, locate hidden inner wounds, release other peoples' energies, and much more. You will also discover information related to the vagus nerve, mast cells, epigenetics, psychoneuroimmunology, and transgenerational inheritance so that you will have a deep understanding of the physical processes that are affected by energetic and emotional trauma.",611.0,Chakras,1,0-50,"Energy Healing for Trauma, Stress & Chronic Illness: Uncover & Transform the Subtle Energies that Are Causing Your Greatest Hardships Combining insights from mainstream science, psychology, and subtle healing modalities, this book provides a truly holistic approach to recovery. Renowned author and spiritual healer Cyndi Dale shares an impressive array of techniques for resolving challenging energetic and spiritual issues. Trauma and pain caused by environmental, physical, psychological, and spiritual forces can have major effects on every aspect of your life. Join Cyndi as she shows how to align with spirit guides, work with the chakras, locate hidden inner wounds, release other peoples' energies, and much more. You will also discover information related to the vagus nerve, mast cells, epigenetics, psychoneuroimmunology, and transgenerational inheritance so that you will have a deep understanding of the physical processes that are affected by energetic and emotional trauma.",energy healing trauma stress chronic illness uncover transform subtle energy causing greatest hardship combining insight mainstream science psychology subtle healing modality book provides truly holistic approach recovery renowned author spiritual healer cyndi dale share impressive array technique resolving challenging energetic spiritual issue trauma pain caused environmental physical psychological spiritual force major effect every aspect life join cyndi show align spirit guide work chakras locate hidden inner wound release people energy much also discover information related vagus nerve mast cell epigenetics psychoneuroimmunology transgenerational inheritance deep understanding physical process affected energetic emotional trauma,0
Synchronicity: The Epic Quest to Understand the Quantum Nature of Cause and Effect,Paul Halpern,5.0,1,500.0,"From Aristotle's Physics to quantum teleportation, learn about the scientific pursuit of instantaneous connections in this insightful examination of our world.",634.0,History of Science,11,0-50,"Synchronicity: The Epic Quest to Understand the Quantum Nature of Cause and Effect From Aristotle's Physics to quantum teleportation, learn about the scientific pursuit of instantaneous connections in this insightful examination of our world.",synchronicity epic quest understand quantum nature cause effect aristotle physic quantum teleportation learn scientific pursuit instantaneous connection insightful examination world,0
"This Is How: Proven Aid in Overcoming Shyness, Molestation, Fatness, Spinsterhood, Grief, Disease, Lushery, Decrepitude & More. For Young and Old Alike.",Augusten Burroughs,4.2,452,820.0,"From the #1 New York Times bestselling author of Running with Scissors comes a groundbreaking book that explores how to survive the ""un-survivable"" and will challenge your notion of self-help books. ",398.0,Biographies & Memoirs,285,201-500,"This Is How: Proven Aid in Overcoming Shyness, Molestation, Fatness, Spinsterhood, Grief, Disease, Lushery, Decrepitude & More. For Young and Old Alike. From the #1 New York Times bestselling author of Running with Scissors comes a groundbreaking book that explores how to survive the ""un-survivable"" and will challenge your notion of self-help books. ",proven aid overcoming shyness molestation fatness spinsterhood grief disease lushery decrepitude young old alike new york time bestselling author running scissors come groundbreaking book explores survive unsurvivable challenge notion selfhelp book,0
This Changes Everything: Capitalism vs the Climate,Naomi Klein,4.6,1410,1192.0,"We seem to have given up on any serious effort to prevent catastrophic climate change. Exposing the work of ideologues on the right who know the challenge this poses to the free market all too well, Naomi Klein also challenges the failing strategies of environmental groups. It's time to stop running from the full implications of the crisis and begin to embrace them.",1313.0,Environmental Public Policy,2,1001-5000,"This Changes Everything: Capitalism vs the Climate We seem to have given up on any serious effort to prevent catastrophic climate change. Exposing the work of ideologues on the right who know the challenge this poses to the free market all too well, Naomi Klein also challenges the failing strategies of environmental groups. It's time to stop running from the full implications of the crisis and begin to embrace them.",change everything capitalism v climate seem given serious effort prevent catastrophic climate change exposing work ideologue right know challenge pose free market well naomi klein also challenge failing strategy environmental group time stop running full implication crisis begin embrace,0
2666,Roberto Bolaño,4.1,354,1406.0,"National Book Critics Circle, Fiction, 2009",2355.0,Literary Fiction,181,201-500,"2666 National Book Critics Circle, Fiction, 2009",national book critic circle fiction,0
13 Steps to Bloody Good Wealth,Ashwin Sanghi,4.3,319,501.0,The only way to become wealthy is by being born wealthy. Right? Wrong! ,260.0,Indian Literature,29,201-500,13 Steps to Bloody Good Wealth The only way to become wealthy is by being born wealthy. Right? Wrong! ,step bloody good wealth way become wealthy born wealthy right wrong,0
Naked Money: A Revealing Look at What It Is and Why It Matters,Charles Wheelan,4.7,87,836.0,"Consider the $20 bill. It has no more value, as a simple slip of paper, than Monopoly money. Yet even children recognize that tearing one into small pieces is an act of inconceivable stupidity. What makes a $20 bill actually worth $20? ",791.0,Inflation,2,51-200,"Naked Money: A Revealing Look at What It Is and Why It Matters Consider the $20 bill. It has no more value, as a simple slip of paper, than Monopoly money. Yet even children recognize that tearing one into small pieces is an act of inconceivable stupidity. What makes a $20 bill actually worth $20? ",naked money revealing look matter consider bill value simple slip paper monopoly money yet even child recognize tearing one small piece act inconceivable stupidity make bill actually worth,0
Eat Delete: How to Get Off the Weight Loss Cycle for Good,Pooja Makhija,4.1,161,668.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,51-200,"Eat Delete: How to Get Off the Weight Loss Cycle for Good Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",eat delete get weight loss cycle good sorry need make sure youre robot best result please make sure browser accepting cooky,1
The Help,Kathryn Stockett,4.7,10036,1382.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,5001-20000,"The Help 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",help oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
Clean - Expanded Edition: The Revolutionary Program to Restore the Body's Natural Ability to Heal Itself,Alejandro Junger,4.4,978,12356.0,A life-changing medical breakthrough ,668.0,Naturopathy,2,501-1000,Clean - Expanded Edition: The Revolutionary Program to Restore the Body's Natural Ability to Heal Itself A life-changing medical breakthrough ,clean expanded edition revolutionary program restore body natural ability heal lifechanging medical breakthrough,0
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity - And Will Determine the Fate of the Human Race",Daniel Z. Lieberman MD,4.7,135,502.0,Why are we obsessed with the things we want and bored when we get them?,493.0,Neuroscience & Neuropsychology,22,51-200,"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity - And Will Determine the Fate of the Human Race Why are we obsessed with the things we want and bored when we get them?",molecule single chemical brain drive love sex creativity determine fate human race obsessed thing want bored get,0
The Ultimate Goals Program: How to Get Everything You Want - Faster than You Ever Throught Possible,Brian Tracy,3.7,13,1774.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,0-50,"The Ultimate Goals Program: How to Get Everything You Want - Faster than You Ever Throught Possible Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",ultimate goal program get everything want faster ever throught possible sorry need make sure youre robot best result please make sure browser accepting cooky,1
The Daily Trading Coach: 101 Lessons for Becoming Your Own Trading Psychologist,Brett N. Steenbarger,4.6,140,836.0,"Every trader is an entrepreneur. And just as a new business must capitalize upon the strengths of its founders, a career in the markets crucially hinges upon the assets - personal and monetary - of the trader. As an active trader and a coach of traders in hedge funds, proprietary trading groups, and investment bank settings, author Brett Steenbarger has helped others see the personal assets they have possessed all along: those that can pay a lifetime of dividends. ",861.0,Business Careers,28,51-200,"The Daily Trading Coach: 101 Lessons for Becoming Your Own Trading Psychologist Every trader is an entrepreneur. And just as a new business must capitalize upon the strengths of its founders, a career in the markets crucially hinges upon the assets - personal and monetary - of the trader. As an active trader and a coach of traders in hedge funds, proprietary trading groups, and investment bank settings, author Brett Steenbarger has helped others see the personal assets they have possessed all along: those that can pay a lifetime of dividends. ",daily trading coach lesson becoming trading psychologist every trader entrepreneur new business must capitalize upon strength founder career market crucially hinge upon asset personal monetary trader active trader coach trader hedge fund proprietary trading group investment bank setting author brett steenbarger helped others see personal asset possessed along pay lifetime dividend,0
"Mud, Sweat and Tears",Bear Grylls,4.6,928,683.0,"Bear Grylls is a man who has always sought the ultimate in adventure. Growing up on the Isle of Wight, he was taught by his father to sail and climb at an early age. As a teenager he found identity and purpose through both mountaineering and martial arts, which led the young adventurer to the foothills of the mighty Himalaya and a grandmaster's karate training camp in Japan. On returning home, he embarked upon the notoriously gruelling selection course for the British Special Forces to join 21 SAS - a journey that was to push him to the very limits of physical and mental endurance. Then, in a horrific free-fall parachuting accident, Bear broke his back in three places. It was touch and go whether he would ever walk again. However, only eighteen months later Bear became one of the youngest ever climbers to scale Everest, aged only 23. But this was just the beginning of his many extraordinary adventures . . .Known and admired by millions, Bear Grylls has survived where few would dare to go. Now, for the first time, Bear tells the story of his action-packed life. ",563.0,Biographies of Celebrities & Entertainment Professionals,26,501-1000,"Mud, Sweat and Tears Bear Grylls is a man who has always sought the ultimate in adventure. Growing up on the Isle of Wight, he was taught by his father to sail and climb at an early age. As a teenager he found identity and purpose through both mountaineering and martial arts, which led the young adventurer to the foothills of the mighty Himalaya and a grandmaster's karate training camp in Japan. On returning home, he embarked upon the notoriously gruelling selection course for the British Special Forces to join 21 SAS - a journey that was to push him to the very limits of physical and mental endurance. Then, in a horrific free-fall parachuting accident, Bear broke his back in three places. It was touch and go whether he would ever walk again. However, only eighteen months later Bear became one of the youngest ever climbers to scale Everest, aged only 23. But this was just the beginning of his many extraordinary adventures . . .Known and admired by millions, Bear Grylls has survived where few would dare to go. Now, for the first time, Bear tells the story of his action-packed life. ",mud sweat tear bear grylls man always sought ultimate adventure growing isle wight taught father sail climb early age teenager found identity purpose mountaineering martial art led young adventurer foothill mighty himalaya grandmaster karate training camp japan returning home embarked upon notoriously gruelling selection course british special force join sa journey push limit physical mental endurance horrific freefall parachuting accident bear broke back three place touch go whether would ever walk however eighteen month later bear became one youngest ever climber scale everest aged beginning many extraordinary adventure known admired million bear grylls survived would dare go first time bear tell story actionpacked life,0
"Passive Income Ideas 2019: $10,000/month Ultimate Guide - Dropshipping, Affiliate Marketing, Amazon FBA Analyzed + 47 Profitable Opportunities to Make Money Online Working with Time & Location Freedom",Ronald Roberts,2.6,7,501.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,0-50,"Passive Income Ideas 2019: $10,000/month Ultimate Guide - Dropshipping, Affiliate Marketing, Amazon FBA Analyzed + 47 Profitable Opportunities to Make Money Online Working with Time & Location Freedom 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",passive income idea month ultimate guide dropshipping affiliate marketing amazon fba analyzed profitable opportunity make money online working time location freedom oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
J. Krishnamurti (Hindi Edition): Ek Jeevani [A Biography],Mary Lutyens,4.6,17,836.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,0-50,"J. Krishnamurti (Hindi Edition): Ek Jeevani [A Biography] 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",j krishnamurti hindi edition ek jeevani biography oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
Sputnik Sweetheart,Haruki Murakami,4.2,339,985.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,201-500,"Sputnik Sweetheart Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",sputnik sweetheart sorry need make sure youre robot best result please make sure browser accepting cooky,1
The New World Economy: A Beginner's Guide,Randy Charles Epping,4.1,11,754.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,0-50,"The New World Economy: A Beginner's Guide Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",new world economy beginner guide sorry need make sure youre robot best result please make sure browser accepting cooky,1
First Man in Rome,Colleen McCullough,4.5,281,1025.0,The first book in the epic Masters of Rome series. ,2637.0,Alternate History Science Fiction,7,201-500,First Man in Rome The first book in the epic Masters of Rome series. ,first man rome first book epic master rome series,0
"Social Media Marketing 2020 Mastery 4 Books Bundle: How to Create a Brand. Become a Skilled Influencer on Twitter, Facebook, YouTube, Instagram: Personal Branding & Digital Networking Strategies",Brandon J. Artley,4.0,1,836.0,"If you want to be successful in online social business, it is of vital importance to remain updated continuously and up to date. We live in a rapidly evolving world; what worked six months ago no longer works today. This is why your knowledge must always remain at the top; only this can guarantee an essential competitive advantage. In life, but even more in social media, those who arrive first have two successes; the new opportunities are presented daily, but they must be grasped.",-60.0,Compulsive Disorders,999,0-50,"Social Media Marketing 2020 Mastery 4 Books Bundle: How to Create a Brand. Become a Skilled Influencer on Twitter, Facebook, YouTube, Instagram: Personal Branding & Digital Networking Strategies If you want to be successful in online social business, it is of vital importance to remain updated continuously and up to date. We live in a rapidly evolving world; what worked six months ago no longer works today. This is why your knowledge must always remain at the top; only this can guarantee an essential competitive advantage. In life, but even more in social media, those who arrive first have two successes; the new opportunities are presented daily, but they must be grasped.",social medium marketing mastery book bundle create brand become skilled influencer twitter facebook youtube instagram personal branding digital networking strategy want successful online social business vital importance remain updated continuously date live rapidly evolving world worked six month ago longer work today knowledge must always remain top guarantee essential competitive advantage life even social medium arrive first two success new opportunity presented daily must grasped,0
"Conversations with God, Book 4: Awaken the Species",Neale Donald Walsch,4.8,328,703.0,We're in trouble. But there is help ... if we listen. ,-60.0,Business Development,999,201-500,"Conversations with God, Book 4: Awaken the Species We're in trouble. But there is help ... if we listen. ",conversation god book awaken specie trouble help listen,0
Difficulty of Being Good,Gurcharan Das,4.5,208,1005.0,Why be good? What exactly is dharma? How does one practice it; and to what effect? Gurcharan Das’ superb exposition of the dilemmas and ambiguities inherent in the Mahabharata shows us how we can come to terms with the uncertain ethics of the world today - a world that is uncannily similar to that of the great epic.,741.0,Literary Theory,585,201-500,Difficulty of Being Good Why be good? What exactly is dharma? How does one practice it; and to what effect? Gurcharan Das’ superb exposition of the dilemmas and ambiguities inherent in the Mahabharata shows us how we can come to terms with the uncertain ethics of the world today - a world that is uncannily similar to that of the great epic.,difficulty good good exactly dharma one practice effect gurcharan da superb exposition dilemma ambiguity inherent mahabharata show u come term uncertain ethic world today world uncannily similar great epic,0
Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Jeff Kinney,4.5,2633,410.0,"Get ready for a whole new look into Jeff Kinney's Diary of a Wimpy Kid! Introducing the newest Wimpy Kid author - Rowley Jefferson! Rowley's best friend, Greg Heffley, has been chronicling his middle-school years in 13 Diary of a Wimpy Kid journals...and counting. But it's finally time for listeners to hear directly from Rowley in a journal of his own. ",96.0,Humorous Fiction for Children,19,1001-5000,"Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal Get ready for a whole new look into Jeff Kinney's Diary of a Wimpy Kid! Introducing the newest Wimpy Kid author - Rowley Jefferson! Rowley's best friend, Greg Heffley, has been chronicling his middle-school years in 13 Diary of a Wimpy Kid journals...and counting. But it's finally time for listeners to hear directly from Rowley in a journal of his own. ",diary awesome friendly kid rowley jefferson journal get ready whole new look jeff kinneys diary wimpy kid introducing newest wimpy kid author rowley jefferson rowleys best friend greg heffley chronicling middleschool year diary wimpy kid journalsand counting finally time listener hear directly rowley journal,0
NLP: The New Technology of Achievement,Charles Faulkner,4.2,155,1439.0,A powerful technology for producing change. ,364.0,Personal Success,309,51-200,NLP: The New Technology of Achievement A powerful technology for producing change. ,nlp new technology achievement powerful technology producing change,0
Customer Success: How Innovative Companies Are Reducing Churn and Growing Recurring Revenue,Nick Mehta,4.7,137,656.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,51-200,"Customer Success: How Innovative Companies Are Reducing Churn and Growing Recurring Revenue 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",customer success innovative company reducing churn growing recurring revenue oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
Ice Station,Matthew Reilly,4.4,433,471.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",917.0,Suspense,105,201-500,"Ice Station 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",ice station completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,3
"Overcoming Unwanted Intrusive Thoughts: A CBT-Based Guide to Getting over Frightening, Obsessive, or Disturbing Thoughts",Sally M. Winston PsyD,4.7,688,468.0,"You are not your thoughts! In this powerful book, two anxiety experts offer proven-effective cognitive behavioral therapy (CBT) skills to help you get unstuck from disturbing thoughts, overcome the shame these thoughts can bring, and reduce your anxiety. ",323.0,Obsessive Compulsive Disorder,1,501-1000,"Overcoming Unwanted Intrusive Thoughts: A CBT-Based Guide to Getting over Frightening, Obsessive, or Disturbing Thoughts You are not your thoughts! In this powerful book, two anxiety experts offer proven-effective cognitive behavioral therapy (CBT) skills to help you get unstuck from disturbing thoughts, overcome the shame these thoughts can bring, and reduce your anxiety. ",overcoming unwanted intrusive thought cbtbased guide getting frightening obsessive disturbing thought thought powerful book two anxiety expert offer proveneffective cognitive behavioral therapy cbt skill help get unstuck disturbing thought overcome shame thought bring reduce anxiety,0
"Zero Day: John Puller, Book 1",David Baldacci,4.4,4921,323.0,"John Puller is a former war hero and now the best military investigator in the U.S. Army’s Criminal Investigative Division. He is a loner with few possessions by preference, but he has an indomitable spirit and an unstoppable determination for finding the truth. His father was the most decorated U.S. Marine in history, but now resides in a nursing home far from his battlefield glory. Puller’s older brother, also a military vet, is serving a life sentence in Leavenworth Penitentiary. Puller is called out to a remote, rural area far from any military outpost to investigate into the brutal murder of a family in their home. The dead husband was in the army and the wife worked for a Pentagon contractor. The local homicide detective, a woman with personal demons of her own, clashes with Puller over the investigation. What neither of them knows is what is waiting for them across the street from the murdered family’s home. It is something that will turn an already complicated case on its head. As Puller digs through deception after red herring, he realizes that absolutely nothing, and nobody, he’s so far seen in this small town, are what they seem. He is truly one man against an overwhelming force. ",787.0,International Mystery & Crime,11,1001-5000,"Zero Day: John Puller, Book 1 John Puller is a former war hero and now the best military investigator in the U.S. Army’s Criminal Investigative Division. He is a loner with few possessions by preference, but he has an indomitable spirit and an unstoppable determination for finding the truth. His father was the most decorated U.S. Marine in history, but now resides in a nursing home far from his battlefield glory. Puller’s older brother, also a military vet, is serving a life sentence in Leavenworth Penitentiary. Puller is called out to a remote, rural area far from any military outpost to investigate into the brutal murder of a family in their home. The dead husband was in the army and the wife worked for a Pentagon contractor. The local homicide detective, a woman with personal demons of her own, clashes with Puller over the investigation. What neither of them knows is what is waiting for them across the street from the murdered family’s home. It is something that will turn an already complicated case on its head. As Puller digs through deception after red herring, he realizes that absolutely nothing, and nobody, he’s so far seen in this small town, are what they seem. He is truly one man against an overwhelming force. ",zero day john puller book john puller former war hero best military investigator u army criminal investigative division loner possession preference indomitable spirit unstoppable determination finding truth father decorated u marine history resides nursing home far battlefield glory puller older brother also military vet serving life sentence leavenworth penitentiary puller called remote rural area far military outpost investigate brutal murder family home dead husband army wife worked pentagon contractor local homicide detective woman personal demon clash puller investigation neither know waiting across street murdered family home something turn already complicated case head puller dig deception red herring realizes absolutely nothing nobody he far seen small town seem truly one man overwhelming force,0
India 2020,Y S Rajan,4.4,157,1005.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,51-200,"India 2020 Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",india sorry need make sure youre robot best result please make sure browser accepting cooky,1
Classic Goosebumps: Welcome to Dead House,R.L. Stine,4.6,393,351.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999,201-500,"Classic Goosebumps: Welcome to Dead House Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",classic goosebump welcome dead house sorry need make sure youre robot best result please make sure browser accepting cooky,1
Chanakya Mantra,Ashwin Sanghi,4.3,193,1003.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999,51-200,"Chanakya Mantra 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",chanakya mantra oops rush hour traffic piling page please try short whileif trying place order processed time go amazonin home page continue shopping,2
