Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank
Karma Sutra: Cracking the Karmic Code,Hingori,4.2,76,501.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Conversations with Friends,Sally Rooney,4.3,2491,713.0,"Frances is a 21-year-old college student in Dublin; she performs at spoken word events with her best friend and ex-lover, Bobbi. When they are profiled by journalist Melissa, they enter an orbit of beautiful houses and raucous dinner parties. Initially unimpressed, Frances begins an affair with Nick, Melissa's husband, which gives way to an unexpected intimacy. Desperate to reconcile her desires and vulnerabilities of her body, Frances's intellectual certainties begin to yield to something new: a disorienting way of living from moment to moment. ",513.0,Literary Fiction,180
The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,4.6,507,683.0,Random House presents the audiobook edition of The Making of a Manager by Julie Zhuo.,452.0,Business Motivation & Self-Improvement,51
"The Law of Success: Using the Power of Spirit to Create Health, Prosperity, and Happiness",Paramahansa Yogananda,4.4,79,234.0,"The faster the world moves, the more important it becomes to slow down and look within for what makes us truly happy. If you measure success by the quality of your life rather than just by material achievements, then the timeless wisdom of this book will speak directly to your heart and soul. For more than 50 years, this classic inspirational guide has helped hundreds of thousands of people to move through obstacles and invite all-round success fully into their lives. ",1620.0,Personal Success,301
Catch 22,Joseph Heller,4.2,2397,93.0,"It’s the closing months of World War II and Yossarian has never been closer to death. Stationed in an American bomber squadron off the coast of Italy, each flight mission introduces him to thousands of people determined to kill him. But the enemy above is not Yossarian’s problem - it is his own army intent on keeping him airborne, and the maddening Catch-22 that allows for no possibility of escape. ",162.0,Classic Literature,57
Small Is Beautiful: A Study of Economics as If People Mattered,E. F. Schumacher,4.6,170,752.0,Random House presents the audiobook edition of Small Is Beautiful by E. F. Schumacher. ,616.0,Free Enterprise,36
How to Be a No-Limit Person,Wayne W. Dyer,3.9,15,1003.0,"In this breakthrough program, Dr. Wayne Dyer shows you how you can become one of these life-loving, No-Limit People and how, as a No-Limit Person, you can: ",278.0,Personal Success,456
Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,4.6,2,668.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
The Bromance Book Club,Lyssa Kay Adams,4.4,456,1005.0,The first rule of book club: You don't talk about book club.,549.0,Sports Romance,6
What I Learned Losing a Million Dollars,Jim Paul,4.4,280,668.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Creative Visualization Meditations,Shakti Gawain,4.7,508,300.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",60.0,Meditation,86
"Return of a King: The Battle for Afghanistan, 1839-42",William Dalrymple,4.6,544,1003.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"Why We Buy, Updated and Revised Edition: The Science of Shopping",Paco Underhill,4.3,260,773.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Healing Through Past-Life Regression...and Beyond,Mira Kelley,4.3,45,468.0,"In this remarkable audio program, Mira Kelley will guide you through a past-life regression that allows you to experience other lives you have lived, receive emotional and physical healing, discover your life’s purpose, understand your relationships, and receive guidance from your Higher Self. Along the way, Mira demonstrates the extraordinary skills she has shared with the likes of Dr. Wayne W. Dyer and Brian Weiss, M.D. (both of whom have featured her work in their own recent books). Mira also includes meditations, which will aid you in discovering how to restore the health and vitality of your body, awakening your beautiful essence, embracing the unconditional love that Source has for you, and recognizing that you truly deserve to express yourself to the fullest. The result is a powerful experience that will help you manifest your best life yet!",101.0,Earth Sciences Books,320
Sorry Not Sorry,Sophie Ranald,4.3,1847,645.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
The Holy Spirit: Activating God's Power in Your Life,Billy Graham,4.8,468,844.0,"Leading evangelist Billy Graham has written an inspiring and thought-provoking work based on his personal quest to understand the most mysterious and difficult aspect of the Trinity. After a discussion with a noted Swiss theologian, Dr. Graham began a study of the Bible to see what is said about the Holy Spirit. As he progressed through his examination, he became concerned by the “misunderstanding and even ignorance in some Christian circles concerning the Third Person of the Trinity.” ",642.0,Theology & Philosophy of Religion,623
The Incredible Banker,Ravi Subramanian,4.1,85,668.0,"A new expat CEO, a bank riddled with losses in its retail banking business, mind-numbing politicking amongst the honchos, aggressive loan sales guys battling the listless credit folks - Greater Boston Global Bank(GB2) seems to be like any other foreign bank. Till it all changes one day when Ronald McCain, CEO of GB2, is hurriedly pulled out of his morning team huddle and summoned by the RBI Governor. What ensues thereon is something Ronald is least prepared for. How could something as catastrophic transpire in an organization considered to be the Mecca of banking? Ronald has no answers. And when the CBI lands up at Deepak Sarup's doors trailing the scent of the same scandal, Ronald decides to distance the bank, leaving Deepak, a senior executive, to fight his own battles. Will Karan, Deepak's onetime adversary and now a journo, bail him out? Will Savitha, his girlfriend, stand by him? And will his family; the CBI and, more importantly, the country believe what he says? With the media and CBI in hot pursuit, Ronald can't help but wonder what his fate has in store for him. ",-60.0,Contemporary Fiction,999
Cybersecurity Program Development for Business: The Essential Planning Guide,Chris Moschovitis,4.7,15,586.0,"This essential guide, with its dozens of examples and case studies, breaks down every element of the development and management of a cybersecurity program for the executive. From understanding the need, to core risk management principles, to threats, tools, roles, and responsibilities, this book walks the listener through each step of developing and implementing a cybersecurity program. From beginning to end, it's a thorough overview, but it can also function as a useful reference audiobook as individual questions and difficulties arise.",549.0,Leadership,161
Babu Bangladesh!,Numair Atif Choudhury,4.3,10,836.0,Shortlisted for the Shakti Bhatt First Book Prize 2019. ,862.0,Friendship Fiction,999
The Picture of Dorian Gray,Oscar Wilde,4.4,3564,569.0,Exclusively from Audible ,515.0,LGBT Thrillers & Suspense,2
The Porn Myth: Exposing the Reality Behind the Fantasy of Pornography,Matt Fradd,4.8,102,703.0,"The Porn Myth is a non-religious response to the commonly held belief that pornography is a harmless or even beneficial pastime. Author Matt Fradd draws on the experience of porn performers and users, and the expertise of neurologists, sociologists, and psychologists to demonstrate that pornography is destructive to individuals, relationships, and society. He provides insightful arguments, supported by the latest scientific research, to discredit the fanciful claims used to defend and promote pornography. ",345.0,Sexual Addiction,1
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,1221,501.0,"One afternoon - after another failed attempt to get motivated to exercise - I (accidentally) started my first mini habit. I initially committed to do one push-up, and it turned into a full workout. I was shocked. This ""stupid idea"" wasn't supposed to work. I was shocked again when my success with this strategy continued for months (and to this day). I had to consider that maybe I wasn't the problem in those 10 years of mediocre results. Maybe it was my prior strategies that were ineffective, despite being oft-repeated as ""the way to change"" in countless books and blogs. ",-60.0,Small Businesses,999
The Ultimate X-Men,Stan Lee,5.0,3,703.0,"This gripping new anthology has over a dozen original tales starring the top-selling mutant heroes, the uncanny X-Men, dealing with their greatest foes, as well as the day-to-day trials of being mutants - trying to protect the world they've sworn to protect, a world that hates them for what they are! ",446.0,Superhero Fiction for Teens,2
In Shock,Dr Rana Awdish,4.7,400,683.0,"Random House presents the audiobook edition of In Shock by Dr Rana Awdish, read by the author and Teri Schnaubelt.",541.0,Medical Ethics,2
Rich Dad Advisors: Stock Market Cash Flow,Andy Tanner,4.5,213,500.0,"The audiobook addresses many of the challenges facing stock market investors and the ways many investors use the stock market to achieve their financial and investing goals. The audiobook teaches the principles of the author's ""four pillars of stock market income"" and effectively simplifies these concepts to help investors harness their power and potential.",451.0,Retirement Planning,1
Warbreaker,Brandon Sanderson,4.6,1423,987.0,"After bursting onto the fantasy scene with his acclaimed debut novel, Elantris, and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called 'secondary creation', the invention of whole worlds, complete with magics and myths all their own. ",1496.0,Action & Adventure Fantasy,5
Infinity Blade: Awakening,Brandon Sanderson,4.3,356,586.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
All the Bright Places: Movie Tie-In Edition,Jennifer Niven,4.7,2799,1256.0,This New York Times best-selling love story about two teens who find each other while standing on the edge is soon to be a Netflix film starring Elle Fanning and Justice Smith!,664.0,Fiction on Depression for Teens,1
Adultery (Hindi Edition),Paulo Coelho,3.3,9,668.0,I want to change. I need to change. I'm gradually losing touch with myself. ,458.0,Contemporary Fiction,38
The Fry Chronicles: An Autobiography,Stephen Fry,4.4,405,1093.0,"Thirteen years ago, Moab Is My Washpot, Stephen Fry’s autobiography of his early years, was published to rave reviews and was a huge best seller. In the years since, Stephen Fry has moved into a completely new stratosphere, both as a public figure, and a private man. Now he is not just a multi-award-winning comedian and actor, but also an author, director, and presenter.",749.0,LGBT Biographies,3
It Happens for a Reason,Preeti Shenoy,4.3,553,668.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The Feast of Roses,Indu Sundaresan,4.5,147,937.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Deep Undercover: My Secret Life and Tangled Allegiances as a KGB Spy in America,Jack Barsky,4.6,315,820.0,One decision can end everything...or lead to unlikely redemption. ,652.0,United States History,318
Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,4.6,156,668.0,"Effective software teams are essential for any organization to deliver value continuously and sustainably. But how do you build the best team organization for your specific goals, culture, and needs?",391.0,Workplace Culture,26
"The End of Mental Illness: How Neuroscience Is Transforming Psychiatry and Helping Prevent or Reverse Mood and Anxiety Disorders, ADHD, Addictions, PTSD, Psychosis, Personality Disorders, and More",Daniel G. Amen,4.7,505,1055.0,"New hope for those suffering from conditions like depression, anxiety, bipolar disorder, addictions, PTSD, ADHD, and more. ",817.0,Emotions,13
The Marshmallow Test: Mastering Self-Control,Walter Mischel,4.4,356,603.0,"Renowned psychologist Walter Mischel, designer of the famous Marshmallow Test, explains what self-control is and how to master it. ",474.0,Child Psychology,11
The End of Everything: (Astrophysically Speaking),Katie Mack,4.7,118,888.0,Brought to you by Penguin.,381.0,Cosmology,9
Zen and the Art of Happiness,Chris Prentiss,4.5,649,233.0,"Zen and the Art of Happiness is a popular book by Chris Prentiss that has been translated and published in more than 20 countries around the world. According to Chris Prentiss, by training oneself to think and feel in a certain manner, changes can happen in the body, which can go a long way in improving the overall well-being of the person. In this audiobook, he gives valuable insights on how to create a vibrant life for oneself. You will learn: ",137.0,Mental Health,23
The Acid House,Irvine Welsh,4.3,60,615.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
What Life Should Mean to You,Alfred Adler,4.4,29,516.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"The AMA Handbook of Project Management, Fifth Edition",Paul C. Dinsmore PMP - editor,4.2,7,820.0,"An essential resource presenting state-of-the-art theory and process of project management, The AMA Handbook of Project Management has long been considered the authoritative guide.",1546.0,Project Management,7
Gilgamesh: A Novel,Joan London,4.2,51,1171.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",541.0,Historical Fiction,161
Admired: 21 Ways to Double Your Value,Mark C. Thompson,4.2,26,352.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Nothing Lasts Forever,Sidney Sheldon,4.4,393,1171.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Maximize Your Potential Through the Power of Your Subconscious Mind to Overcome Fear and Worry,Dr. Joseph Murphy,4.5,54,938.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Narrative Economics: How Stories Go Viral and Drive Major Economic Events,Robert J. Shiller,4.4,162,585.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Fangirl,Rainbow Rowell,4.4,2635,323.0,"Cath and Wren are identical twins, and until recently they did absolutely everything together. Now they're off to university, and Wren's decided she doesn't want to be one half of a pair any more - she wants to dance, meet boys, go to parties and let loose. It's not so easy for Cath. She's horribly shy and has always buried herself in the fan fiction she writes, where she always knows exactly what to say and can write a romance far more intense than anything she's experienced in real life. ",769.0,Fiction on Loners & Outcasts for Teens,1
Leadership on the Line (Revised): Staying Alive Through the Dangers of Change,Ronald A. Heifetz,4.6,88,820.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"Word Smart, Genius Edition: Building a Phenomenal Vocabulary",Julian Fleisher,4.0,7,753.0,"Do you have a proclivity for using sesquipedalian words? Has your prose become ossified because you haven't augmented your vocabulary lately? Here's the perfect, pedagogical solution. Word Smart, Genius Edition teaches more than 150 of the most captivating and challenging words in the English language.  ",283.0,Adult & Continuing Education,2
"The Frequency: Fulfill All Your Wishes by Manifesting with Vibrations: Use the Law of Attraction and Amazing Manifestation Strategies to Attract the Life You Want, Book 1",Linda West,4.3,167,233.0,Learn powerful and easy techniques for manifestation mastery. ,143.0,Angels & Spirit Guides,2
Casanova,Benedict Cumberbatch,4.1,14,569.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",301.0,Historical Biographies,22
"Cracking the Tech Career: Insider Advice on Landing a Job at Google, Microsoft, Apple, or any Top Tech Company",Gayle Laakman McDowell,4.0,69,668.0,Become the applicant Google can't turn down. ,546.0,Business Careers,64
The Born to Win Seminar,Zig Ziglar,4.6,417,2008.0,Discover your untapped greatness and how to win at life...in two days flat! ,903.0,Personal Success,448
Decisive: How to Make Better Choices in Life and Work,Chip Heath,4.6,596,888.0,Brought to you by Penguin.,549.0,Negotiating,10
A Dog's Purpose: A novel for humans,W. Bruce Cameron,4.7,4559,323.0,"This is the remarkable story of one endearing dog's search for his purpose over the course of several lives. More than just another charming dog story, A Dog's Purpose touches on the universal quest for an answer to life's most basic question: why are we here? ",497.0,Animal Fiction,3
Uncommon Type: Some Stories,Tom Hanks,4.2,966,752.0,Read by two-time Oscar winner Tom Hanks. ,601.0,Literature Anthologies,22
The Passion Test: The Effortless Path to Discovering Your Destiny,Janet Attwood,4.3,230,585.0," Chris and Janet Attwood wrap fascinating stories of the ups, downs, twists, and turns of living passionately around fun and practical exercises that will have you living your own passionate life by the time you finish this audio program.",-60.0,Small Businesses,999
Uprooted,Naomi Novik,4.6,2787,323.0,A dark enchantment blights the land. ,1040.0,Fantasy Romance,9
Good Omens: The BBC Radio 4 dramatisation,Terry Pratchett,4.7,6251,615.0,Neil Gaiman was the WINNER of the BBC Audio Drama Award 2015 for Outstanding Contribution to Radio Drama ,259.0,Fantasy,324
Hornblower and the Hotspur,C.S. Forester,4.7,242,748.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"The Fifth Season: The Broken Earth, Book 1",N. K. Jemisin,4.4,2368,500.0,The Fifth Season: Booktrack Edition adds an immersive musical soundtrack to your audiobook listening experience!,927.0,Action & Adventure Fantasy,10
Apni Team ke Leaders ko Viksit Kaise Karen [How to Develop Your Team Leaders],John Maxwell,4.2,56,668.0,"It's not enough for a leader to have vision, energy, drive and conviction. If you want to see your dream come to fruition, you must learn how to develop the leaders around you. If you want to be a leader, then you will have to develop a team of successful leaders around you. This book tells how you can make your colleagues and subordinates into leaders.",537.0,Leadership,85
Transcendent Kingdom,Yaa Gyasi,4.3,39,888.0,Brought to you by Penguin.,521.0,Southern United States Literature,1
Benjamin Franklin Ki Atmakatha (Hindi Edition),Benjamin Franklin,4.2,162,668.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Other Colours,Orhan Pamuk,4.5,14,759.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Alexander Hamilton,Ron Chernow,4.7,6471,1138.0,"Alexander Hamilton was an illegitimate, largely self-taught orphan from the Caribbean who overcame all the odds to become George Washington's aide-de-camp and the first Treasury Secretary of the United States. Few figures in American history are more controversial. ",2158.0,Historical Biographies,23
As a Man Thinketh: 21st Century Edition: The Wisdom of James Allen,Sam Torode,4.7,301,132.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
"The Essentials of Risk Management, Second Edition",Michel Crouhy,4.4,47,820.0,"Created for risk professionals and non-risk professionals alike, this easy-to-understand guide helps you meet the increasingly insistent demand to make sophisticated assessments of companies' risk exposure. It provides the latest methods for: ",1292.0,Insurance,1
"Jax: Protectors Series # 8,",Teresa Gabelman,4.8,349,586.0,"Jax Wheeler has been fighting his own demons for as long as he can remember. One of those demons is from his past, a brother who wants nothing more to see Jax suffer. Working closely with the Cincinnati Branch of the VC Warriors Jax never thought he would find someone who could help him ease his pain, but he was wrong.",-60.0,Indian Literature,999
"Chicken Soup for the Kid's Soul: Stories of Courage, Hope, and Laughter",Jack Canfield,4.7,127,280.0,"Now more than ever, kids want and need the inspiration and hope that Chicken Soup for the Soul provides. In this special volume, young readers will find empowerment and encouragement to love and accept themselves, believe in their dreams, find answers to their questions, and discover hope for a promising future.",72.0,Religion For Children,4
Charlotte's Web,E. B. White,4.8,5004,754.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Story Genius: How to Use Brain Science to Go Beyond Outlining and Write a Riveting Novel (Before You Waste Three Years Writing 327 Pages That Go Nowhere),Lisa Cron,4.6,505,1005.0,"Following on the heels of Lisa Cron's breakout first book, Wired for Story, this writing guide reveals how to use cognitive storytelling strategies to build a scene-by-scene blueprint for a riveting story. ",576.0,Authorship,2
The Future of Capitalism,Paul Collier,4.5,152,683.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Thrawn (Star Wars),Timothy Zahn,4.7,2309,1256.0,"In this definitive novel, listeners will follow Thrawn's rise to power - uncovering the events that created one of the most iconic villains in Star Wars history. ",1016.0,Space Opera Science Fiction,18
Sula,Toni Morrison,4.5,782,753.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.6,1043,410.0," Sogyal Rinpoche presents a radically new vision of living and dying. He shows how to go beyond our fear and denial of death to discover what it is in us that survives death and is changeless. Rinpoche explains simple yet powerful practices that listeners can use to transform their lives, prepare for death, and help the dying.",367.0,Sociology of Death & Dying,3
Letting Go: The Pathway of Surrender,David R. Hawkins MD. PHD.,4.7,2150,1172.0,"Letting Go describes a simple and effective means by which to let go of the obstacles to enlightenment and become free of negativity. During the many decades of the author's clinical psychiatric practice, the primary aim was to seek the most effective ways to relieve human suffering in all of its many forms. The inner mechanism of surrender was found to be of great practical benefit and is described in this book. ",743.0,Philosophy Movements,4
The Girl Who Drank the Moon,Kelly Barnhill,4.7,3522,645.0,"Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. But Xan is in fact a good witch who rescues the children. ",571.0,Fairy Tales,22
Mahanirvana Tantra,Arthur Valon,4.4,6,1102.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Time Management: The Brian Tracy Success Library,Brian Tracy,4.6,159,351.0,"More than any other practice in your career, your ability to manage time will determine your success or failure. It’s a simple equation. The better you use your time, the more you will accomplish, and the greater your rewards will be.",124.0,Time Management & Productivity,30
A Woman First: First Woman: A Memoir,Selina Meyer,4.6,81,879.0,"The long-awaited memoir of her tumultuous year in office, A Woman First: First Woman is an intimate first-person account of the public and private lives of Selina Meyer, America's first woman president. Known and beloved throughout the world as a vocal and fearless advocate for adult literacy, fighting AIDS, our military families, and as a stalwart champion of the oppressed, especially the long-suffering people of Tibet, President Meyer is considered one of the world's most notable people. In her own words, she reveals the innermost workings of the world's most powerful office, sharing previous secret details along with her own personal feelings about the historic events of her time. ",360.0,Humorous Fiction,28
Why 'A' Students Work for 'C' Students and 'B' Students Work for the Government: Rich Dad's Guide to Financial Education for Parents,Robert T. Kiyosaki,4.2,62,1005.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
Homegoing,Yaa Gyasi,4.6,3266,820.0,"Penguin presents the unabridged downloadable audiobook edition of Homegoing by Yaa Gyasi, narrated by Dominic Hoffman. ",791.0,African American Literature,13
Demigods and Magicians: Three Stories from the World of Percy Jackson and the Kane Chronicles,Rick Riordan,4.7,556,615.0,"Puffin presents the unabridged downloadable audiobook addition of Demigods and Magicians, written and read by Rick Riordan. ",272.0,Fantasy & Magic for Children,68
On Dublin Street,Samantha Young,4.5,2833,752.0,"Penguin presents the unabridged, downloadable audiobook edition of Samantha Young’s On Dublin Street, the hottest new romance best seller. ",645.0,Contemporary Romance,121
Mr & Mrs Jinnah (Hindi Edition),Sheela Reddy,3.6,6,836.0,"Mohammad Ali Jinnah was 40 years old, a successful barrister and a rising star in the nationalist movement when he fell in love with pretty, vivacious Ruttie Petit, the daughter of his good friend, the fabulously rich baronet Sir Dinshaw Petit, a prominent Parsi mill owner. But Ruttie was just 16, and her outraged father forbade the match. But when Ruttie turned 18, they married, and Bombay society, its riches and sophistication notwithstanding, was scandalized. Everyone sided with the Petits, and Ruttie and Jinnah were ostracized.   ",860.0,Biographies & Memoirs,319
"Eat Real to Heal: Using Food as Medicine to Reverse Chronic Diseases from Diabetes, Arthritis, Cancer and More",Nicolette Richer,4.5,79,586.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
Murder in the City: Twelve Incredibe Case Files of the Kolkata Police,Supratim Sarkar,4.4,57,668.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-60.0,Religion & Philosophy,999
The One You Cannot Have,Preeti Shenoy,4.3,582,668.0,"How long does it take to heal a broken heart? Can you ever forget that one perfect relationship you had? Anjali knows who she wants - she wants Aman. Aman, too, knows who he wants - he wants Shruti. ",507.0,Indian Literature,32
Damn Right: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger (Revised),Janet Lowe,4.4,69,703.0,A must-listen biography from the author of the best-selling Warren Buffett Speaks.,805.0,Biographies of Business Leaders,51
Uncle Tom's Cabin (AmazonClassics Edition),Harriet Beecher Stowe,4.5,2388,1003.0,"When a Kentucky farmer is forced to sell two slaves to a plantation owner, it becomes a turning point in the lives of both slaves. For Eliza, it's one of escape - a harrowing flight north with her young son. For Uncle Tom, sent down the Mississippi River, it's a more certain fate, as he struggles to survive against the brutal exploitation of his traders. ",1109.0,Classic Literature,60
Mastering Stand-Up: The Complete Guide to Becoming a Successful Comedian,Stephen Rosenfield,4.7,173,586.0,"This entertaining and sharply written guide - for both beginners breaking into comedy and professionals seeking to improve their sets and advance their careers - examines the work of great comedians such as Louis C. K., Jerry Seinfeld, Eddie Izzard, Moms Mabley, Hannibal Buress, Sarah Silverman, Richard Pryor, and more as a means of illustrating the most important techniques of performing and writing stand-up.  ",595.0,Entertainment & Performing Arts Business Aspects,1
The Complete Book of Five Rings,Miyamoto Musashi,4.9,144,668.0,"The Complete Book of Five Rings is an authoritative version of Musashi's classic The Book of Five Rings, translated and annotated by a modern martial arts master, Kenji Tokitsu. Tokitsu has spent most of his life researching the legendary samurai swordsman and his works, and in this book he illuminates this seminal text, along with several other works by Musashi. These include ""The Mirror of the Way of Strategy"", which Musashi wrote when he was in his 20s; ""Thirty-five Instructions on Strategy"", and ""Forty-two Instructions on Strategy"", which were precursors to The Book of Five Rings; and ""The Way to Be Followed Alone"", which Musashi wrote just days before his death. ",303.0,Martial Arts,3
My Name Is Red,Orhan Pamuk,4.3,360,1138.0,"In Istanbul, in the late 1590s, the Sultan secretly commissions a great book: a celebration of his life and his empire, to be illuminated by the best artists of the day – in the European manner. But when one of the miniaturists is murdered, their master has to seek outside help. Did the dead painter fall victim to professional rivalry, romantic jealousy or religious terror? ",1223.0,Contemporary Fiction,41
Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,4.6,377,752.0,"Just as Freakonomics brought economics to life, so Storm in a Teacup brings physics into our daily lives and makes it fascinating. ",614.0,Earth Sciences,9
A Concise History of Modern India,Barbara Metcalf,3.9,18,680.0,"A Concise History of Modern India, by Barbara D. Metcalf and Thomas R. Metcalf, has become a classic in the field since it was first published in 2001. As a fresh interpretation of Indian history from the Mughals to the present, it has informed students across the world. ",664.0,Indian History,28
Sebastian and Sons: A Brief History of Mrdangam Makers,T.M. Krishna,4.3,49,836.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
The Coming of the Third Reich,Richard J. Evans,4.6,240,1338.0,"There is no story in 20th-century history more important to understand than Hitler’s rise to power and the collapse of civilization in Nazi Germany. With The Coming of the Third Reich, Richard Evans, one of the world’s most distinguished historians, has written the definitive account for our time. A masterful synthesis of a vast body of scholarly work integrated with important new research and interpretations, Evans’s history restores drama and contingency to the rise to power of Hitler and the Nazis, even as it shows how ready Germany was by the early 1930s for such a takeover to occur. The Coming of the Third Reich is a masterwork of the historian’s art and the book by which all others on the subject will be judged.",-60.0,German History,999
The 5 Love Languages of Children: The Secret to Loving Children Effectively,Gary Chapman,4.8,2900,656.0,"You love your child, but does your child feel loved? ",348.0,Primary Education,3
Artemis,Andy Weir,4.1,3087,1003.0,The best-selling author of The Martian returns with an irresistible new near-future thriller - a heist story set on the moon. ,537.0,Science Fiction,901
Little Vinayak,Shobha Viswanath,4.2,5,75.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
The Moment of Lift: How Empowering Women Changes the World,Melinda Gates,4.6,1641,323.0,Winner of The Audiofile Earphones Award 2019 and Audiofile Best Audiobooks of The Year 2019.  ,474.0,Philanthropy & Charity,2
Papillon,Henri Charriere,4.7,921,17301.0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-60.0,Fantasy,999
In Xanadu,William Dalrymple,4.5,59,569.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",179.0,Asia Travel & Tourism,3
